word,synonyms
aburrido,"['monótono', 'hastiado', 'cansado', 'harto', 'pesado', 'soporífero', 'soso', 'tedioso', 'fastidiado']"
aburrimiento,"['fastidio', 'molestia', 'disgusto', 'enfado', 'incomodidad', 'enojo', 'cansancio', 'hastío', 'tabarra', 'monserga', 'tostón', 'pesadez', 'latazo', 'lata', 'cantinela', 'perorata']"
aburrir,"['hastiar', 'hartar', 'cargar', 'cansar', 'molestar', 'estomagar', 'empalagar', 'amuermar', 'fastidiar']"
abusar,"['sangrar', 'aprovecharse', 'exprimir', 'gorronear']"
abusiva,"['avasallador', 'aplastante', 'arrolaldor', 'subyugador', 'arbitrario', 'injusto', 'dictatorial']"
abusivo,"['leonino', 'injusto', 'desmesurado', 'desorbitado', 'exagerado', 'exorbitante', 'desproporcionado', 'desmedido', 'rocambolesco']"
abuso,"['licencia', 'atrevimiento', 'osadía', 'deshonestidad', 'inmoralidad']"
abusón,"['explotador', 'déspota', 'logrero', 'negrero', 'tirano', 'opresor']"
abúlico,"['apático', 'dejado', 'desganado', 'indiferente', 'pasivo', 'desidioso', 'desinteresado']"
abyección,"['vileza', 'envilecimiento', 'indignidad', 'ignominia', 'bajeza', 'ruindad', 'maldad', 'degradación', 'humillación']"
abyecta,"['rastrera ', 'baja ', 'vil ', 'despreciable ', 'indigna ', 'abyecta ']"
abyecto,"['rastrero ', 'bajo ', 'vil ', 'despreciable ', 'indigno ', 'abyecto ']"
acabado,"['terminado', 'gastado', 'consumido', 'destruido', 'fracasado', 'arruinado', 'viejo', 'perfecto', 'completo', 'rematado']"
acabamiento,"['extinción', 'terminación', 'cese', 'agonía', 'fin']"
acabar,"['ultimar', 'terminar', 'finalizar', 'concluir', 'rematar', 'finiquitar', 'liquidar', 'cerrar']"
acabar con,"['agostar', 'arruinar', 'destruir', 'devastar']"
acabose,"['colmo', 'exceso', 'súmmum', 'desastre', 'catástrofe', 'ruina']"
academia,"['liceo', 'escuela', 'colegio', 'instituto', 'pensionado']"
académico,"['normativo', 'purista', 'clásico', 'culto', 'escolar', 'universitario', 'colegial', 'docente']"
acaecer,"['pasar', 'acontecer', 'ocurrir', 'suceder', 'sobrevenir', 'advenir', 'producirse', 'tener lugar']"
acallar,"['silenciar', 'enmudecer', 'callar', 'tranquilizar', 'aliviar', 'aplacar', 'mitigar', 'aquietar', 'suavizar', 'calmar']"
acalorado,"['efervescente', 'ardoroso', 'bullicioso', 'agitado', 'hirviente', 'entusiástico', 'burbujeante ', 'borboteante ', 'bullente', 'espumoso', 'espumeante']"
acaloramiento,"['efervescencia', 'exitación', 'agitación', 'inquietud', 'exaltación', 'enardecimiento', 'bullicio', 'conmoción', 'arrebato', 'ardor']"
acalorar,"['encarnizar', 'recrudecer', 'enconar', 'atizar', 'azuzar', 'achuchar']"
acalorarse,"['exaltarse', 'entusiasmarse', 'apasionarse', 'excitarse']"
acampada,"['campamento', 'camping']"
acampado,"['atrompetado', 'abocinado']"
acampanado,"['abocinado', 'atrompetado']"
acampar,['vivaquear']
acanalado,"['estriado', 'rayado', 'surcado', 'ondulado']"
acanaladura,"['canal', 'estría', 'surco', 'muesca']"
acanalar,"['estriar', 'rayar', 'surcar', 'ondular']"
acantilado,"['escabrosidad', 'escarpadura', 'escarpa', 'abismo', 'precipicio', 'declive', 'cuesta']"
acantonamiento,"['guarnición', 'tropa', 'guardia', 'regimiento', 'cuartel']"
acantonar,"['acampar', 'acuartelar', 'emplazar']"
acaparar,"['enseñorearse', 'adueñarse', 'apoderarse', 'apropiarse', 'posesionarse', 'hacerse']"
acaramelado,"['amartelado', 'enamorado', 'rendido', 'tierno', 'melifluo', 'dulzón', 'meloso']"
acaramelar,"['garapiñar', 'garrapiñar', 'endulzar']"
acariciar,"['lamer', 'rozar', 'besar', 'tocar']"
acarrear,"['llevar', 'transportar', 'trasladar', 'portear', 'causar', 'ocasionar', 'provocar', 'conducir', 'implicar']"
acarreo,"['transporte', 'traslado', 'conducción', 'porte', 'mudanza']"
acartonado,"['apergaminado', 'momificado', 'curtido', 'amojamado', 'seco', 'enjuto', 'flaco', 'enteco', 'demacrado']"
acartonarse,"['secar', 'enflaquecer', 'amojamarse', 'apergaminarse']"
acaso,"['casualidad', 'azar', 'suerte', 'quizá', 'posiblemente', 'tal vez', 'fortuna', 'destino', 'hado']"
acatamiento,"['vasallaje', 'sumisión', 'servilismo', 'sometimiento', 'sujeción']"
acatar,"['guardar', 'cumplir', 'obedecer', 'respetar', 'seguir']"
acatarrado,"['griposo', 'resfriado', 'constipado']"
acatarrarse,"['resfriarse', 'constiparse', 'enfriarse']"
acaudalado,"['rico', 'adinerado', 'opulento', 'millonario', 'multimillonario', 'potentado', 'pudiente', 'creso', 'magnate', 'ricachón']"
acaudillar,"['abanderar', 'matricular', 'dirigir', 'encabezar', 'liderar', 'defender', 'proteger', 'acoger', 'amparar', 'capitanear']"
acá,"['aquende', 'aquí', 'junto']"
acápite,['párrafo']
acceder,"['consentir', 'entrar', 'obtener', 'ceder', 'ingresar', 'lograr', 'alcanzar', 'aceptar', 'penetrar', 'conseguir']"
